Date,Open,High,Low,Close,Volume
2020-08-24,15044.11424876421,15093.854565031954,14762.970039969587,14818.477493286133,1383830
2020-08-25,14935.26061917289,15005.185914369024,14851.638373631271,14963.375411987305,1634472
2020-08-26,14850.194073574834,15057.808488398585,14783.873250231514,15008.066940307619,1287048
2020-08-27,14840.820721902175,14866.05193896349,14282.135690862217,14734.129959106445,2877866
2020-08-28,14800.4543354613,14870.380868140639,14683.672298522151,14824.243774414062,1564649
2020-08-31,14850.191613655035,14970.579317155129,14788.915803693253,14884.073532104492,1928993
2020-09-01,14807.661472785448,15028.972836042096,14807.661472785448,15021.763916015625,1802318
2020-09-02,14973.465002697345,15180.358520513408,14883.35474549099,15136.38410949707,2163166
2020-09-03,15101.78106202092,15135.662984741944,14367.202067973543,14483.264434814453,2672006
2020-09-04,14489.750847400112,14494.797091079241,13877.721022984668,14171.121566772461,4196273
2020-09-08,14168.239269935528,14212.212442306134,13920.254897014136,14140.124481201172,3010068
2020-09-09,14264.115032310887,14669.972229269288,14243.209166161641,14557.51432800293,2984237
2020-09-10,14633.931312983606,14874.706798668814,14622.397039103773,14640.419342041016,2725248
2020-09-11,14731.24885883828,14869.658889122511,14701.692285330193,14768.735244750977,2132484
2020-09-14,14886.237999560146,15115.477923265003,14837.217345690255,14989.324310302729,1940950
2020-09-15,15039.78939316416,15117.644505118562,14981.398369392915,15044.11474609375,1794986
2020-09-16,15033.29674335369,15159.451590915407,14913.629923192299,14925.88508605957,2056457
2020-09-17,14791.80407377278,14941.748392100619,14706.740045442733,14933.097686767578,2216746
2020-09-18,14963.374665049614,15035.462633017622,14756.481117504474,14872.543502807617,4362878
2020-09-21,14741.339202787549,14837.937480885299,14530.12034829436,14836.495697021484,1811681
2020-09-22,14799.012994883646,14964.81693965538,14698.089340109695,14933.097686767578,1841911
2020-09-23,14983.558679156826,15046.27504595141,14789.641201666514,14792.523529052734,2008630
2020-09-24,14835.77715376555,14886.960489033898,14580.585091803989,14682.229629516602,2695243
2020-09-25,14606.46690423431,14973.721757878759,14534.31518358111,14947.025161743164,2596092
2020-09-28,15037.214474894183,15247.898632646013,14992.48088192997,15136.784317016602,2342066
2020-09-29,15151.936460398752,15313.556605979515,15109.36621428018,15224.809707641602,1944785
2020-09-30,15278.92443490292,15630.30438045364,15234.189599976351,15536.506774902344,3705706
2020-10-01,15657.723868797586,15778.218079880166,15423.950743216747,15488.888412475586,2349624
2020-10-02,15311.39296982439,15529.291177841444,15255.113662459615,15332.316085815432,1616537
2020-10-05,15479.509283303125,15774.611202394946,15479.509283303125,15754.408370971682,1401878
2020-10-06,15790.483384729669,15931.90070776805,15664.938471598323,15746.470077514648,2232763
2020-10-07,15838.824371548626,16110.117022963004,15827.279897711805,16019.92706298828,1970278
2020-10-08,16065.382306273517,16080.534428296982,15869.128733339525,15924.685272216795,2425990
2020-10-09,15988.90088171239,16318.636181639462,15957.87510906734,16310.699356079102,1826345
2020-10-12,16362.645824367308,16413.152888642784,16242.15164147102,16288.329528808594,2130792
2020-10-13,16192.372721992355,16303.487058396444,16189.486603076,16278.955047607424,1855447
2020-10-14,16295.551088724143,16392.956365400267,16177.221448803566,16346.05693054199,2019233
2020-10-15,16093.524714789997,16291.221380786872,15922.52340743092,16264.524780273438,1945349
2020-10-16,16334.509724539354,16555.295312608985,16306.371310202392,16410.991867065433,2972393
2020-10-19,16468.71311589215,16501.90347986968,16035.800292382813,16149.800735473635,2575788
2020-10-20,16162.789326937926,16522.828921064418,16130.32049048724,16380.68881225586,2624292
2020-10-21,16505.513767184446,16576.943972246754,16321.526160337955,16346.05693054199,4243649
2020-10-22,16362.651110276314,16999.032874477456,16290.499379878134,16882.146301269528,3094330
2020-10-23,16969.450314788795,17067.577116124638,16690.943564830184,16786.90577697754,2559432
2020-10-26,16697.436776146016,16964.399041539255,16682.28465233137,16949.24691772461,2689378
2020-10-27,17015.628596008803,17353.299549422358,17015.628596008803,17300.629119873043,3687319
2020-10-28,17100.045855039963,17220.540077293204,16676.51287377812,16746.50001525879,3208822
2020-10-29,16759.48596597894,16840.296045700175,16474.48547704554,16600.030395507812,2491865
2020-10-30,16522.826424782765,16657.02844475247,16263.07825617135,16561.78778076172,2930882
2020-11-02,16766.703810901283,16972.337310681673,16583.437733891016,16771.032989501957,2831618
2020-11-03,16964.396115942392,17076.953488707382,16799.889855218753,16938.42105102539,1871690
2020-11-04,17277.537928108526,17712.615340766337,17215.487619911473,17354.018829345707,3420886
2020-11-05,17824.45490619091,17824.45490619091,17297.744359937114,17341.03614807129,3823130
2020-11-06,17495.43838702285,17875.67956759589,17299.906324040763,17710.45175170898,2643242
2020-11-09,17727.7655519487,17916.80381664017,16844.623288122457,16867.71223449707,4380926
2020-11-10,16823.700468361538,16901.624421871606,16220.509184963556,16297.711608886719,7031050
2020-11-11,16448.50931004217,16947.801590016796,16316.47187536617,16821.536392211914,4396944
2020-11-12,16812.157384244223,16991.094252831674,16706.81529772693,16810.714324951176,2612448
2020-11-13,16955.74121283572,17048.09577613356,16876.3741846404,16932.65350341797,2804208
2020-11-16,17052.423203245347,17052.423203245347,16509.840354827367,16569.72607421875,2426102
2020-11-17,16496.131778484494,16744.33426109997,16434.08022642399,16548.080673217773,2707313
2020-11-18,16575.500827930184,16621.67873278521,16098.575863727714,16212.57632446289,3241646
2020-11-19,16171.447138963244,16393.67579499396,15961.484487400994,16294.105941772461,3125124
2020-11-20,16282.563986440253,16417.488814595366,16170.728111445496,16289.057754516602,2654297
2020-11-23,16378.521948356349,16436.96460397496,15784.71053988569,15951.381393432619,3152647
2020-11-24,16043.017059580448,16046.624708169595,15636.079266227356,15747.915130615229,4445335
2020-11-25,15486.722798420848,15684.419427994402,15326.54446672687,15672.874954223635,3616255
2020-11-27,15743.58407865573,15768.8376157743,15513.419851687077,15641.128112792969,1587322
2020-11-30,15838.104853692914,16220.511872484654,15802.02961024599,16207.524337768555,3744396
2020-12-01,16307.092418435863,16450.674330622453,16089.914484210973,16234.21792602539,4376189
2020-12-02,16241.434840766646,16307.815573141534,16107.232800368529,16219.79019165039,2398692
2020-12-03,16206.800239884973,16321.522203155757,16050.229560271564,16114.445693969727,3607344
2020-12-04,16036.520854382883,16211.851307287436,15860.470113745587,16193.091537475586,2843801
2020-12-07,16263.803195029355,16450.67691423443,16236.38506486588,16317.196395874023,2081724
2020-12-08,16255.863745117134,16370.585713573906,16107.952655798174,16125.989654541016,2292434
2020-12-09,16127.431528154611,16184.432364317827,15947.051618983693,16078.368759155273,2820226
2020-12-10,16090.638085395205,16328.017637884743,16013.435647153943,16105.06867980957,3682356
2020-12-11,16138.981212753984,16309.982534586497,15976.639490453326,16144.031921386719,1656355
2020-12-14,16141.864741266982,16278.23261058853,15939.117382444609,15952.826446533205,2171400
2020-12-15,16008.386011425579,16214.019511853403,15933.346915444401,16102.183639526369,2360904
2020-12-16,16078.370059216297,16132.483539592933,15913.14225769085,16010.54751586914,2009983
2020-12-17,16077.647693896324,16241.432427648455,16049.508039787897,16197.420364379885,1819802
2020-12-18,16208.24394376814,16408.10516498271,16024.97666195687,16314.307556152344,4761739
2020-12-21,16123.825513996586,16348.217490617973,15895.824647553727,16317.914489746094,2800486
2020-12-22,16256.587388210266,16311.423646818901,16063.94143711269,16084.865798950195,2057585
2020-12-23,16123.105957801852,16228.44680697051,15907.371067970773,15914.586364746094,1977722
2020-12-24,15940.57936120389,16144.214402380685,15927.582464075067,15994.016159057619,689208
2020-12-28,16123.27615101757,16272.75229356179,15991.851740018783,16085.003845214844,2385833
2020-12-29,16275.640820669618,16294.415914141335,16078.504824996215,16092.947204589844,1955501
2020-12-30,16160.82368571647,16236.646171732724,15907.363675416947,15935.525070190432,1609882
2020-12-31,15946.356820811894,16056.117652689356,15862.59226980034,16040.953155517576,2070444
2021-01-04,16246.755304681254,16295.137274066194,15863.315115890953,16119.66485595703,3601140
2021-01-05,16083.559186174462,16563.039960172224,16083.559186174462,16519.714065551754,4187023
2021-01-06,16166.60142652634,17160.224672422984,16064.061778557974,17067.072570800778,4472971
2021-01-07,17218.71769333776,17550.888708270315,17178.279028899236,17309.70344543457,4168186
2021-01-08,17405.74350570501,17688.810419569025,17366.749080458052,17582.66017150879,2591467
2021-01-11,17547.998157366208,17635.37330409264,17463.510243439847,17628.152114868164,1738474
2021-01-12,17660.651506727885,17709.754361798205,17277.209999854826,17380.471786499023,2499648
2021-01-13,17328.47687114908,17425.239565991655,17020.85793210215,17319.089324951176,3674686
2021-01-14,17353.753576692747,17429.57483343406,17065.6305638739,17092.34896850586,2333494
2021-01-15,17092.346573864408,17256.988449964523,16965.25488279707,17095.9571685791,2932236
2021-01-19,17269.985887718394,17305.369717028065,17002.08348018595,17049.743331909183,2544655
2021-01-20,17032.41024991407,17153.002858497057,16941.42451504592,17117.619033813477,2313754
2021-01-21,17095.958561965534,17224.494501394922,16804.226213910522,16832.38885498047,2684414
2021-01-22,16922.649860084202,17290.925522264908,16886.543915599956,17189.10800170898,3057444
2021-01-25,17179.721772882713,17280.09506335238,16866.325879408185,17197.052627563477,2445955
2021-01-26,17248.326108510366,17248.326108510366,16895.93572998047,16895.93572998047,1853530
2021-01-27,16637.419699243237,16637.419699243237,15729.727273320772,16045.288314819336,5268662
2021-01-28,16290.806795757906,16752.956770191853,16264.810510133202,16505.273666381836,2957052
2021-01-29,16459.77851961907,17265.653350231813,16316.079329796074,17174.667602539062,6483406
2021-02-01,17294.539732786772,17651.26281020854,17262.766494997246,17457.01527404785,4042978
2021-02-02,17673.643986823972,17772.573034197787,17535.721761360066,17698.196029663086,4123742
2021-02-03,17620.92833053089,17655.590033703586,17194.883200591285,17202.82650756836,3199121
2021-02-04,17158.779959150746,17321.977594373056,16941.425889980434,17007.859588623043,2779618
2021-02-05,17059.850821191867,17211.49455276139,16937.81520847791,17012.19221496582,1659175
2021-02-08,17053.354175566135,17241.102623556955,16903.15467143959,17016.526107788086,1747610
2021-02-09,17078.625740245392,17217.27132974237,16951.535296337006,17114.00956726074,2111503
2021-02-10,17247.599396078942,17247.599396078942,17057.683373576725,17149.392471313477,1586306
2021-02-11,17277.927755703346,17399.242488902917,17143.616125098186,17378.301040649414,2086010
2021-02-12,17347.971563869443,17841.894631509756,17344.360969702135,17756.685852050778,2372748
2021-02-16,17895.332354738963,17970.431479646286,17446.180600247553,17494.56132507324,1846762
2021-02-17,17407.188823220004,17516.227553986715,17280.09711668233,17324.146377563477,2201630
2021-02-18,17191.278699413582,17229.55101023117,17005.69658368181,17142.89796447754,1763966
2021-02-19,17137.11565954657,17225.212915929256,16689.406946278596,16698.072372436523,3474917
2021-02-22,16731.29282326454,16731.29282326454,16247.478081387466,16283.584030151369,3872875
2021-02-23,16272.750229509049,16365.902322889604,16092.94511272028,16164.433639526369,2464003
2021-02-24,16211.374118743788,16337.021583312828,16066.951559956755,16103.057510375977,3249317
2021-02-25,16030.846475408276,16184.655334797118,15747.056197567175,15832.988357543945,3297595
2021-02-26,16040.234924978697,16088.616903874257,15854.652805144377,15862.596115112305,3529963
2021-03-01,15952.854752413272,16372.400839329106,15952.854752413272,16295.857482910156,2242238
2021-03-02,16253.255214315837,16373.125722658024,16040.232600014499,16181.766677856445,2330448
2021-03-03,16247.47519760828,16316.798606930695,15847.426327868498,15863.312942504885,2724684
2021-03-04,15796.880444723134,15891.47677795037,15356.392886271778,15482.762451171875,4017598
2021-03-05,15597.579069622394,15837.318830996775,15348.450519061375,15767.274536132812,2743634
2021-03-08,15742.721758395277,15842.372925398206,15315.233576782633,15336.173782348635,3240067
2021-03-09,15610.577017418535,15814.212071866315,15575.91530844369,15622.130920410156,5334425
2021-03-10,15660.399126908887,15833.705154416833,15252.406973437197,15375.888046264648,3706157
2021-03-11,15586.02828402174,15886.426096938829,15494.320402436832,15830.10205078125,2733482
2021-03-12,15715.283780363587,15785.328077747792,15441.603175794255,15502.261169433594,2581202
