Date,Open,High,Low,Close,Volume
2020-08-24,16159.16514032466,16537.799971766097,16085.562541632413,16496.066360473636,3393700
2020-08-25,16630.371834425154,16661.482449068215,16178.892788526327,16261.600479125977,2160200
2020-08-26,16369.349969216664,16474.82156295317,16244.150284084628,16372.385772705076,1518200
2020-08-27,16397.42164092922,16608.364773080557,16320.024881749674,16557.526077270504,2014900
2020-08-28,16559.049055166895,16971.07201039233,16542.355607533013,16837.52442932129,2996100
2020-08-31,16829.936114317275,17012.044966422018,16678.17835162338,16681.212997436523,1839300
2020-09-01,16692.596768636173,17190.362082125583,16628.099251555526,17107.654373168945,1901800
2020-09-02,17233.60960619474,17376.262260759184,16926.301090720946,17293.554565429688,1680700
2020-09-03,17359.75967861332,17622.290326189468,16633.804073795654,16814.912704467773,4003800
2020-09-04,16928.29690034517,17368.13117377222,16543.250614689063,17206.807052612305,2879800
2020-09-08,17029.500151526285,17178.64861942993,16719.790456837978,16820.99813842773,2121100
2020-09-09,17197.674656932406,17414.54845223565,17054.613982914467,17178.65068054199,3222700
2020-09-10,17463.25065414258,17463.25065414258,16961.017187997157,17078.966079711914,2443300
2020-09-11,17231.156874379205,17781.329941147975,17157.343753808338,17714.365173339844,4865200
2020-09-14,18338.3518909666,18339.1124319814,17697.624533716124,17984.505249023438,6583700
2020-09-15,17881.77518876468,18251.601293279986,17540.86473543459,18009.61573791504,9847300
2020-09-16,19254.54566782535,19494.247290659932,18742.420581055707,19046.80418395996,17073300
2020-09-17,18463.147784812794,19008.755224725326,18423.57759341863,18573.486602783207,4254300
2020-09-18,18489.0215634153,18887.00280923669,18411.403417580186,18474.563156127933,4348700
2020-09-21,18107.01771835111,18201.377044779085,17522.601810636574,18167.13412475586,4109500
2020-09-22,18225.731594771263,18550.661466439637,17930.48024368023,18523.26689147949,2651700
2020-09-23,18642.738286210002,19062.7868931623,18342.158498659963,18371.075317382812,3083000
2020-09-24,18568.15957885752,18810.905678289593,18224.96749825463,18584.14022827148,3048300
2020-09-25,18390.85708500844,19168.55729832609,18374.877595781152,19036.91171264648,3212400
2020-09-28,19425.00069389861,19781.130109242877,19334.446387230502,19361.8409576416,3309800
2020-09-29,19403.696050108214,19647.964426330334,18957.012279400642,19290.312728881836,2195400
2020-09-30,19288.027701686267,19595.455785302573,18985.92688836763,19139.640930175778,2506000
2020-10-01,19424.239613645343,19616.76331480977,19243.13215564223,19334.447006225586,2862300
2020-10-02,19065.828006089683,19674.59404588,19023.97502880007,19419.67347717285,3015300
2020-10-05,19693.620710520245,19857.988155888692,19612.199851196667,19724.8203125,2427800
2020-10-06,19794.062877221335,20163.890116587245,19646.43666228981,19729.38090515137,3152200
2020-10-07,20077.90307944686,20596.115957179645,20051.269050790273,20413.486267089844,2986500
2020-10-08,20525.34718944872,20737.653070625085,20268.14268532969,20626.5537109375,1993000
2020-10-09,20880.717746321563,20926.375757882255,20510.892729432107,20663.84393310547,2172000
2020-10-12,20717.87155852697,20866.257177914653,20646.341223012325,20812.229736328125,2063600
2020-10-13,20722.43444229772,20944.633152641843,20686.669279173937,20754.3934173584,1657100
2020-10-14,20907.34684985592,21227.709912954182,20832.772037816496,21020.72898864746,2079400
2020-10-15,20781.03570331707,21469.70521208389,20679.067443353546,21467.42010498047,2254700
2020-10-16,21611.2355509419,21851.69887306755,21459.043751287376,21601.342712402344,2990300
2020-10-19,21672.873494908174,22160.6485016202,21273.3700125037,21456.76141357422,3453100
2020-10-20,21611.237395650638,22272.51100737604,21543.510924337297,21869.963012695312,3924900
2020-10-21,22003.893626200577,22318.92948619467,21478.8323113685,21480.353393554688,3219200
2020-10-22,21579.27804955205,21736.03776727024,20851.801304935725,20998.668182373043,2962900
2020-10-23,21176.736165169994,21601.350415835717,21067.917224690653,21577.760864257812,2498300
2020-10-26,21306.087288183913,21344.8969348257,20804.615656693168,21125.740402221683,2321400
2020-10-27,21302.2872865166,21333.486885439965,20879.955953475957,20881.47703552246,1912300
2020-10-28,19992.67951547642,20311.52156806727,19632.745020748054,19784.17514038086,4039200
