Date,Open,High,Low,Close,Volume
2020-08-24,11865.339178348175,11966.655425292895,11746.009474592447,11960.651321411133,2087000
2020-08-25,12333.649482649964,12533.281669105465,12272.109413653186,12347.909088134766,7400500
2020-08-26,12368.172159654456,12490.502207682675,12258.599258823322,12406.447036743164,3466600
2020-08-27,12472.492050414505,12660.116033012555,12389.937040005,12457.482360839844,4281100
2020-08-28,12482.246832131885,12660.864055777518,12417.704146817627,12636.84878540039,13011800
2020-08-31,12651.86034652292,12652.610430182589,12359.917479686235,12424.460174560547,4561900
2020-09-01,12292.371785889218,12620.339271398881,12270.607908761944,12606.079666137695,3974600
2020-09-02,12663.115768912692,12978.32378723418,12602.325790149389,12943.801620483398,4111900
2020-09-03,13011.347618013222,13045.120851115496,12387.68568120219,12480.747589111328,3527700
2020-09-04,12662.367783170623,12732.91458582619,12351.662505109032,12510.017196655273,3326500
2020-09-08,12397.440650230725,12491.252627855007,12255.596985869437,12328.39517211914,2796800
2020-09-09,12401.943166327152,12574.557430353048,12372.673875765444,12439.467956542969,2807500
2020-09-10,12555.795314267143,12555.795314267143,12294.623089207547,12328.39517211914,2814900
2020-09-11,12346.4064189156,12567.052374944109,12328.395252001108,12492.002792358398,2116700
2020-09-14,12609.079609623619,12723.905376194289,12561.047923902332,12643.602920532227,2134000
2020-09-15,12703.643863331006,12757.679657376675,12613.584588310163,12630.845672607422,1851200
2020-09-16,12705.145101719616,12860.49830899023,12644.355114584474,12758.43081665039,3152000
2020-09-17,12611.329798330707,12867.249118222311,12511.514873548886,12783.944046020508,2661400
2020-09-18,12719.403621971478,12793.703124998176,12585.815449377407,12660.865036010742,4908000
2020-09-21,12369.673938772408,12396.690691737376,11902.11416986488,12110.751937866211,4459600
2020-09-22,12071.726472047045,12233.082625295974,12016.939449267133,12209.066207885742,2501000
2020-09-23,12182.049789450935,12300.627131870338,11845.07672387326,11917.12368774414,2507600
2020-09-24,11881.851031233953,12076.979268162018,11771.52804795896,11914.871887207031,2238300
2020-09-25,11831.570306386659,12162.539354275936,11795.54681500059,12119.761672973633,2593900
2020-09-28,12341.15178316299,12469.485909784948,12250.34129731541,12356.16146850586,2512600
2020-09-29,12350.159751809299,12475.49242364748,12268.355977492618,12346.407043457031,2169300
2020-09-30,12440.96616793088,12602.32226757516,12234.579873184954,12353.908401489258,2883400
2020-10-01,12473.24052026963,12543.787311825541,12167.038082866855,12284.115249633789,2409300
2020-10-02,12129.514236085464,12533.281392302535,12109.251671527501,12428.962509155273,2339900
2020-10-05,12532.531608950498,12702.143272291245,12513.769211207085,12662.367080688477,1750000
2020-10-06,12691.636429401384,12865.000802062159,12504.762534821575,12525.026245117188,2345800
2020-10-07,12682.627702173313,12923.536189235052,12647.354311392897,12874.754425048828,2030200
2020-10-08,12937.048193089755,13048.871344982846,12869.502877588053,13042.117156982422,1977900
2020-10-09,13088.649535738385,13213.232144234851,13003.844268046445,13087.149368286133,2636900
2020-10-12,13138.178730326137,13282.273780350684,13067.631944913297,13160.693832397461,3396300
2020-10-13,13053.371629352934,13129.172430681978,12797.453456785095,12874.754425048828,2315300
2020-10-14,12990.328928125839,13130.672393357201,12968.565058153483,13018.848129272461,2384600
2020-10-15,12837.982508867262,13024.10516890826,12783.196629553284,12954.309600830078,2436600
2020-10-16,13006.093407745377,13238.746435902725,12968.568614962018,13123.17057800293,3628800
2020-10-19,13102.905989508195,13145.684800088584,12837.230978312711,12877.757247924805,2103500
2020-10-20,12943.800662874646,13187.71178861593,12943.800662874646,13003.089324951172,1580300
2020-10-21,12952.809721218144,13150.19052854055,12949.808241199622,12973.823516845703,1827000
2020-10-22,13029.360336619216,13302.54081876925,12986.581517451841,13272.521438598633,1882100
2020-10-23,13358.824563991431,13406.856246954214,13033.109678113644,13174.202102661133,1987900
2020-10-26,12998.589510285145,12998.589510285145,12578.312469092656,12771.189331054688,2323700
2020-10-27,12686.383877825265,12747.175015753686,12507.76660857056,12514.520797729492,2009300
2020-10-28,12197.05679813473,12421.454286171958,12080.729732157808,12094.989334106445,3233500
2020-10-29,12038.70572739732,12438.720203462773,11964.406216589914,12353.163711547852,3113600
2020-10-30,12123.509861508206,12440.219212387961,12086.73629653742,12379.429229736328,4389500
2020-11-02,12698.388459898417,13096.151455192412,12616.584694129817,13029.357376098633,4198300
2020-11-03,13173.454246494955,13538.195294313813,13077.390864327223,13449.637329101562,3719800
2020-11-04,13241.749285577172,13691.295577852872,13004.592316317583,13427.121856689453,4318600
2020-11-05,13538.194860369464,13837.643122707555,13525.436568086774,13755.088119506836,4585100
2020-11-06,13773.850300007727,13959.222867332339,13725.068527623687,13829.387405395508,3080300
2020-11-09,15377.660504748575,15760.413871113393,14516.091533774154,14784.019119262695,7735200
2020-11-10,14965.638988177403,15236.568053366964,14869.575604774016,15158.515838623045,5882200
2020-11-11,15182.531394228448,15231.313166796715,14885.334531412476,14956.631408691406,3238500
2020-11-12,14895.55555332304,15028.261681114138,14754.554070101847,14872.181289672852,2659800
2020-11-13,14992.822705325889,15223.550937671882,14992.822705325889,15196.406372070312,2355200
2020-11-16,15531.942759188732,15804.895598886409,15336.652158710553,15727.985809326174,4898800
2020-11-17,15601.316852150694,15601.316852150694,15333.641430680882,15482.182403564455,3447800
2020-11-18,15419.595347021557,15455.034117856998,15152.67474064825,15163.984497070312,4422300
2020-11-19,15176.804610650936,15313.281058679204,15071.996635325231,15285.382888793945,3263000
2020-11-20,15213.75196630318,15331.378052549553,15117.991795870335,15231.093978881836,2359000
2020-11-23,15355.505080409102,15479.918165240333,15338.163068778631,15425.629028320312,2806400
2020-11-24,15706.123949872272,15743.069927993109,15588.497859340318,15675.209075927729,4053600
2020-11-25,15683.503301711706,15731.760188926344,15574.1714174558,15659.374282836914,2434300
2020-11-27,15658.621446225214,15790.574004478725,15653.343942173275,15789.820404052729,1434200
2020-11-30,15620.916129294192,15702.3498222589,15375.861450195312,15375.861450195312,6465700
2020-12-01,15614.885685490986,15821.486068464414,15527.419729148824,15547.778442382812,3795500
2020-12-02,15531.944225386856,15761.917714513611,15530.435874322011,15683.500717163086,2459900
2020-12-03,15578.691435654291,15792.077647154689,15563.61137788587,15700.087799072266,2779400
2020-12-04,15788.309632811506,16052.214708870131,15788.309632811506,16036.379898071289,3198800
2020-12-07,15948.159690639912,15969.272003823138,15785.293439017138,15917.245971679688,2595100
2020-12-08,15858.431376180852,16065.030584958258,15826.761758983987,15990.383895874023,2302300
2020-12-09,16048.444648316407,16122.338899112487,15888.5939394352,16003.204467773438,2946400
2020-12-10,15853.157733366896,16045.43169579298,15850.895781500065,15982.848342895506,2987200
2020-12-11,15800.373608504302,16230.915230922306,15800.373608504302,16183.413101196289,3120700
2020-12-14,16286.71622888313,16339.497023591945,15962.489703478912,15973.80061340332,3345300
2020-12-15,16135.908653736202,16203.769491598781,15976.057964216088,16148.726760864256,2502500
2020-12-16,16089.917543648564,16160.795100311554,15776.247193135114,15857.680908203125,2930100
2020-12-17,15905.938547220798,15980.586410522461,15834.307386768613,15980.586410522461,2148300
2020-12-18,16006.972976325505,16023.561387018079,15730.249798731862,15837.319717407227,6686200
2020-12-21,15504.80255686503,15921.772537785691,15445.989510225818,15884.071807861326,2467500
2020-12-22,15877.28302340485,15925.53990278373,15672.190998410922,15678.97685241699,2019600
2020-12-23,15804.895227299705,15995.660770525452,15776.997063830719,15833.54814147949,2046700
2020-12-24,15874.267049985205,15887.085158318903,15728.742804901323,15798.865600585938,754900
2020-12-28,15909.706989606811,15927.049002090262,15787.557000796163,15829.781631469727,1715700
2020-12-29,15939.866121630614,15939.866121630614,15674.453845152431,15768.705657958979,1527600
2020-12-30,15834.306420214254,15954.194464124628,15801.129594105354,15905.937576293945,1602100
2020-12-31,15909.704783174899,16060.507672114947,15809.420723965603,16037.88700866699,1406400
2021-01-04,16048.444727533526,16061.26283627738,15559.843641941652,15679.731674194336,2328900
2021-01-05,15606.5933385797,15848.632523194341,15606.5933385797,15718.18832397461,2172100
2021-01-06,15792.832435387765,16134.400889416558,15776.244025434225,16004.710311889648,2747900
2021-01-07,16052.21352403142,16136.662773965705,15894.6247806595,16031.101211547852,2057300
2021-01-08,16045.427213760428,16091.422139763154,15658.617445090536,15836.564895629885,3278900
2021-01-11,15691.79481081407,15805.650578904188,15670.68249819517,15710.64517211914,2938900
2021-01-12,15672.946835692932,15795.09682737583,15476.902588058845,15749.856643676756,2498800
2021-01-13,15704.612106585644,15730.248320506935,15562.857028728438,15609.606704711914,2145100
2021-01-14,15686.517340087656,15817.716278855283,15621.672046287764,15729.496719360352,3661500
2021-01-15,15648.06261502136,15672.945231249323,15472.377100831036,15530.436538696289,3887500
2021-01-19,15701.599114866338,15740.807042360742,15566.62986859694,15590.004135131836,2656300
2021-01-20,15677.467186038662,15734.018265747574,15583.21538652381,15689.531692504885,2452400
2021-01-21,15597.54653638014,15669.177695453456,15464.840376933418,15474.641784667969,2705100
2021-01-22,15401.49949079482,15416.580700956321,15185.097701287932,15249.942993164062,3502700
