Date,Open,High,Low,Close,Volume
2020-08-24,26165.304753396085,26879.628367065434,26113.82327527986,26796.773406982422,2088000
2020-08-25,26746.902128492584,27138.653354855447,26541.77649262075,27062.235107421875,1718400
2020-08-26,28706.465972934184,28959.054459623396,27194.965981298144,27538.45166015625,3108600
2020-08-27,27498.2269660635,28115.216704912313,27274.59884115876,27752.423370361328,1880500
2020-08-28,27891.5836150899,27943.87028927054,27659.105656269923,27841.707641601562,1189400
2020-08-31,27824.0124301592,27852.16509326303,27519.137353116283,27783.791534423828,1070800
2020-09-01,27745.993410279894,28100.73967330969,27636.591259421642,27927.790252685547,1074500
2020-09-02,28047.649489126372,28610.74220964384,27951.118326510463,28490.882232666016,1438000
2020-09-03,28404.80658165146,28404.80658165146,27081.540269328365,27320.452545166016,1570100
2020-09-04,27170.02427538084,27392.847186820913,26112.212597793987,26795.96792602539,1219500
2020-09-08,25804.930746312417,26494.315241159915,25713.22589806559,25807.34390258789,1578500
2020-09-09,26095.31846340394,26651.171575422093,25720.459394688365,26401.801513671875,1303200
2020-09-10,26512.00921691106,26759.771352966236,25505.683897898216,25772.751281738278,1254100
2020-09-11,26048.66422577002,26171.740081388285,25050.381194693433,25339.166961669922,955200
2020-09-14,25755.04955343703,25841.925608405327,25401.1037057067,25605.426544189453,888800
2020-09-15,25852.389673756268,26075.212606998743,25691.506051371714,25940.07095336914,1111600
2020-09-16,26132.32681796154,26242.534166514906,25146.914585138857,25208.856353759766,1668800
2020-09-17,24527.51850110822,24808.259700197177,24240.34058092787,24714.144134521484,1818200
2020-09-18,24751.952735377025,25174.2723541793,23872.721644230434,24143.00747680664,2284400
2020-09-21,23834.104664178205,24777.685527987745,23760.09711854156,24751.946014404297,1594200
2020-09-22,24921.670655949445,25590.1417315733,24671.497868475697,25522.570922851562,2099900
2020-09-23,25371.344878542797,25418.00250031404,24378.693296592122,24529.119079589844,1412100
2020-09-24,24508.20955109498,25148.525729281166,24288.602506158175,24823.540100097656,1216900
2020-09-25,24928.91791921824,25644.046831242595,24757.57646088667,25620.718017578125,1239800
2020-09-28,26178.179711244018,26234.4899646569,25923.18052809767,26187.832336425778,1134300
2020-09-29,26187.029603523588,26483.054898762028,25986.72781132226,26034.190643310547,1115500
2020-09-30,25984.313576628974,26476.619534772097,25714.835466729815,26240.923156738278,1804900
2020-10-01,26605.319578789775,26865.95267455342,26533.727654859482,26734.026947021484,1091400
2020-10-02,26236.90203981022,26503.96944831816,25734.14070823171,25893.416381835938,902700
2020-10-05,26572.348809104355,26706.687746292966,26314.131220372306,26655.20379638672,1296500
2020-10-06,26651.17366244018,26857.104482555074,26055.904808830284,26174.154357910156,1042400
2020-10-07,26364.003155134735,27101.655776557374,26310.911255614603,26940.77212524414,1235700
2020-10-08,27105.158997907198,27217.97825702463,26855.35124786034,26994.75961303711,788200
2020-10-09,27126.115776841125,27575.774715143827,27057.61906152581,27544.34585571289,846800
