Date,Open,High,Low,Close,Volume
2020-08-24,28984.25412983558,29057.496010674375,28520.13135842217,28659.448120117188,588500
2020-08-25,28805.4058554209,28815.774787126044,28485.57542676941,28593.249237060547,528200
2020-08-26,28553.371041104056,29303.894298261475,28486.37459666562,29064.620239257812,676900
2020-08-27,29169.90304983665,29314.26487883239,28703.318121735458,29030.32650756836,600600
2020-08-28,29161.928605160516,29276.78036192759,28972.104106225433,29257.636779785156,509900
2020-08-31,29440.281484083564,29453.043060029857,29053.454580161193,29224.936279296875,775300
2020-09-01,29208.982283086734,29492.122281460302,29098.915825661457,29382.05825805664,564900
2020-09-02,29521.631731238074,30297.675630256676,29489.726579219656,30181.229614257812,764900
2020-09-03,30020.92155365322,30043.253704356448,28054.886630528592,28209.617401123047,1352100
2020-09-04,28207.224534970297,28435.331327208318,26941.465017343085,27530.875579833984,1275000
2020-09-08,27090.60658170106,27509.33614367626,26722.920881589827,27170.36459350586,1055000
2020-09-09,27596.27636652221,28422.568328703826,27506.947768883296,28057.277648925778,842900
2020-09-10,28041.324102824656,28289.372815158215,27319.514982506364,27475.04409790039,679600
2020-09-11,27701.55517764985,28012.610958594563,27572.34757895139,27818.799560546875,681900
2020-09-14,28116.29195966244,28458.454493752935,28074.81867196287,28161.754608154297,628500
2020-09-15,28507.114489889962,28755.160780383423,28284.58891765046,28489.567626953125,779300
2020-09-16,28383.491031698788,28716.0831028263,28365.944166943493,28516.688018798828,907100
2020-09-17,28127.462610283572,28569.32270666479,27839.534902782405,28053.28823852539,783700
2020-09-18,28085.1870367318,28295.746906839617,27815.604587061123,27995.858459472656,992700
2020-09-21,27586.70303333065,28011.81218871692,27284.41947039972,27986.291473388672,1129800
2020-09-22,28021.38392093812,28187.281964555965,27482.221364234087,27928.866760253906,748200
2020-09-23,27956.776912620073,28088.379576919266,27332.272762526933,27361.782836914062,628100
2020-09-24,27372.95157788963,27787.69179329921,27284.41891601331,27585.904113769528,644400
2020-09-25,27525.291844803098,28304.529335289306,27478.234900416915,28142.620635986328,578700
2020-09-28,28490.366370171843,28687.368809621956,28323.672372794364,28357.967742919922,741500
2020-09-29,28389.065212367743,28738.40567254578,28278.20041428387,28472.014221191406,580900
2020-09-30,28473.611804564618,29008.7874121384,28363.54535268337,28760.741149902344,1012000
2020-10-01,29102.901572638413,29362.115106344467,28815.77224849822,29010.38198852539,650300
2020-10-02,28702.51997244683,29151.558041156273,28479.19847679359,28950.56869506836,719500
2020-10-05,29167.51067239886,29189.84282200452,28870.81072248262,29109.286437988278,517300
2020-10-06,29289.535336424793,29289.535336424793,28238.32289869412,28259.060760498047,776300
2020-10-07,28387.480423529247,28619.574159640968,28065.257285877142,28306.12567138672,703100
2020-10-08,28367.53794553567,28775.10028671975,28320.478568642782,28489.567626953125,547800
2020-10-09,28631.53639123323,28689.758191100245,28398.64188969996,28454.47348022461,812200
2020-10-12,28843.693293540906,29039.098994135387,28567.72877488766,28720.06689453125,687200
2020-10-13,28720.067707076338,28720.067707076338,28109.919286125514,28234.341613769528,1163900
2020-10-14,28472.01632668822,28501.52640202339,27942.421952601533,28035.73989868164,811700
2020-10-15,27740.638142438773,28038.13644831084,27538.850439008933,27711.92642211914,963000
2020-10-16,27755.788669044647,28073.226438691196,27651.305866190356,27769.348602294922,1109600
2020-10-19,27855.496381455152,28093.972149971167,27151.233936180874,27209.45574951172,731500
2020-10-20,27144.041129141304,27425.586793148515,27061.89048026728,27129.685272216797,1032500
2020-10-21,27317.923092579265,27494.187653858495,26899.989368530358,26951.035675048828,691100
2020-10-22,26924.717335904992,27103.3769957542,26663.90942848545,26898.398254394528,1001900
2020-10-23,27037.96813964051,27093.001366858847,26729.304998994256,26912.747467041016,688600
2020-10-26,26572.18137498225,26825.81128620555,26352.048468022356,26603.285736083984,893600
2020-10-27,26320.148885377417,26801.089690376622,26228.427641217586,26387.94369506836,1482700
2020-10-28,25922.16053471004,26285.856990819175,25691.658638111578,26056.95181274414,1505600
2020-10-29,26113.572354642405,26273.08838691117,25483.484513985033,25980.375396728516,876400
2020-10-30,25798.52586810794,26302.597087880826,25445.996818282325,25740.304077148438,1464400
2020-11-02,26206.0976671309,26758.820255455346,25982.773712782444,26154.255432128906,1305100
2020-11-03,26477.271446844068,26948.64166294224,26285.852675164944,26698.998657226562,1186600
2020-11-04,26981.336985881197,28528.641841547884,26964.586051843708,28003.036865234375,1603700
2020-11-05,28558.156509660923,28780.682067479294,28127.463687512372,28393.05682373047,1317500
2020-11-06,28351.577755035865,28456.858904391054,27765.355939332123,28263.04510498047,1072300
2020-11-09,29366.106727505205,29372.48629838531,27566.76592062561,27628.977081298828,1316100
2020-11-10,27526.887283617423,27675.23604030992,26608.073286991825,26726.91439819336,1488600
2020-11-11,26932.678716066242,27757.376078462516,26878.443864540175,27434.357177734375,975900
2020-11-12,27467.867227845072,27534.86367634725,26998.09129517612,27254.912231445312,697900
2020-11-13,27385.709035852477,27506.144409358098,26923.11355330925,27270.859741210938,941200
2020-11-16,27198.28259941205,27545.228031800347,26914.344248985333,27087.417785644528,1407700
2020-11-17,26982.135221058146,27212.6370503479,26818.63226561243,26851.33334350586,1052200
2020-11-18,26947.04308640108,27068.276832854197,26707.76902979718,26836.979064941406,943500
2020-11-19,26962.99772978017,27114.53749043649,26683.844642352626,27008.460388183594,1111200
2020-11-20,26958.209966675866,27313.93004388171,26850.53615604016,26980.542114257812,825200
2020-11-23,27058.70913419119,27240.557339165087,26610.46940998495,26888.025787353516,893200
2020-11-24,26900.00624510514,27091.80615488824,26681.03246613085,26709.003845214844,1469700
2020-11-25,26801.71010700704,27024.678772378968,26684.232255237785,27015.089141845703,1013900
2020-11-27,27211.688363910478,27501.786929639013,27103.80012491416,27297.199981689453,407700
2020-11-30,27437.84882172854,28223.432759557312,27351.539703800438,28113.14712524414,3327300
2020-12-01,28189.072926696033,28189.072926696033,26612.31251160429,26717.803344726562,2256000
2020-12-02,27061.439927917287,27066.234743200253,26434.092247132652,26634.684295654297,1713100
2020-12-03,26401.326428974484,26740.17549333321,26025.718739497785,26101.638275146484,1745500
2020-12-04,26436.49272485865,27131.770288052845,26295.840728776922,27127.775421142578,3059500
2020-12-07,27030.27605220357,27186.912389518013,26600.32302491143,26871.239868164062,1691400
2020-12-08,26796.118608926947,26926.383463573897,26622.70041162062,26668.25360107422,1637400
2020-12-09,26712.208124186254,26784.932753104837,25885.06820758578,26155.187561035156,2000300
2020-12-10,26151.18513457246,26307.021489606675,25881.065859204773,26039.299621582028,1475200
2020-12-11,25964.98422439689,26295.841155929185,25833.921857865753,25958.59194946289,1429000
2020-12-14,26167.172118166225,26275.060347288374,25834.717748457933,25867.483947753906,1666900
2020-12-15,25956.19484202285,26107.236422915976,25833.922156968885,25880.272857666016,1207600
2020-12-16,26012.93481072577,26012.93481072577,25552.612971885996,25642.919403076172,1809000
2020-12-17,25804.351150767154,25804.351150767154,25288.08657812129,25658.101959228516,3021600
2020-12-18,25673.285830948706,25846.706453477018,25506.259921631037,25773.181884765625,2981100
2020-12-21,25469.503187217415,25567.001849874894,24908.485292717454,25539.82797241211,2211400
2020-12-22,25457.51072441747,25593.37034033516,25168.212127495113,25487.879516601562,1627500
2020-12-23,25573.39573269626,25698.86579083838,25058.730948466222,25064.325714111328,1047600
2020-12-24,25032.35881006293,25328.84967629043,25032.35881006293,25300.078338623047,490800
2020-12-28,25487.881292098376,25495.073516190045,25123.46063824081,25416.756561279297,1030500
2020-12-29,25612.547240904958,25805.94706657858,25556.606916292083,25692.464080810547,1058600
2020-12-30,25789.96489941571,25916.23488288853,25634.12851177011,25863.489471435547,1340000
2020-12-31,25917.034390130997,26280.6575337293,25837.91748628896,26271.067901611328,1014200
2021-01-04,26509.218015742823,26910.402169447203,26412.51930872122,26632.290649414062,3231000
2021-01-05,26514.81123473238,26744.172193972878,25980.167336527466,26248.689208984375,2012800
2021-01-06,26137.60620403883,26410.922919179546,25905.04786507871,26281.45556640625,1638300
2021-01-07,26326.20780282939,26649.87004522684,26084.059863255014,26298.236419677734,1856700
2021-01-08,26468.45655837794,26468.45655837794,25788.363516436813,26120.817840576172,1493900
2021-01-11,25953.795255444787,26008.93807337652,25468.699422969854,25509.457794189453,1545600
2021-01-12,25553.414851643945,25553.414851643945,25034.755233685846,25242.537109375,2271500
2021-01-13,25141.84718566517,25215.369338531757,24882.914874655664,24938.057708740234,1936900
2021-01-14,25009.979686301896,25285.69136102858,24374.639740470007,24468.941040039062,1910400
2021-01-15,24486.520473108536,24592.01129234157,24257.9594703055,24450.559356689453,2701800
2021-01-19,24574.43142959556,25103.48058755192,24511.296435072054,25025.163635253906,2224000
2021-01-20,25387.995518651314,25929.034392622743,25174.618800819724,25728.44223022461,2799500
2021-01-21,25582.183826667402,25812.344764174213,25300.077420081216,25391.183807373047,1622200
2021-01-22,25315.263381858575,25622.143837869447,25178.606231347512,25185.000946044922,1519100
2021-01-25,25256.921463876646,25431.139608147478,24910.880144364775,25168.212493896484,1453800
2021-01-26,25203.37673179296,25656.506346867507,25036.350807045892,25494.27523803711,1479500
2021-01-27,25421.551140857922,26184.756102867643,24254.764612420764,24478.530822753906,3074900
2021-01-28,24671.123598904298,25867.478626647084,24540.061267549336,25491.071044921875,2721800
2021-01-29,25147.42732506961,25585.36994654644,24923.658761276947,25333.632446289062,2734500
2021-02-01,25553.412160099135,25804.352233594906,25348.025275313415,25720.438079833984,1774600
2021-02-02,25911.44100417427,26544.381086760382,25899.451525648394,26380.552520751953,2397000
2021-02-03,26372.55595752066,26372.55595752066,25906.641875373178,25913.034149169922,1705100
2021-02-04,25948.20108570056,26250.286667921708,25913.037478130387,26248.689208984375,1172500
2021-02-05,26288.644323017397,26569.150760497032,25851.499130127013,25894.652465820312,2153300
2021-02-08,26017.7338594654,26076.871557957078,25808.3520675276,26008.14422607422,1250100
2021-02-09,26372.556394946787,27049.452106638484,26107.231908917707,26563.558807373047,3154600
2021-02-10,26769.74695874577,26919.991024813466,26423.708076302846,26612.310668945312,1810400
2021-02-11,26720.196432939163,27156.541704476826,26612.3082091823,27122.977996826172,1627400
2021-02-12,26985.523527201793,27215.6820041179,26951.15742852503,27127.775421142578,2033700
2021-02-16,27331.56417797414,27331.56417797414,26892.021479205552,27038.26824951172,2280100
2021-02-17,26800.913425596715,27099.004151645342,26741.77573751958,27086.217163085938,1344900
2021-02-18,26939.172744568783,27254.845301881058,26939.172744568783,27048.658447265625,1155000
2021-02-19,27102.204884005416,27325.173604330612,27050.259413235406,27110.994567871094,1251800
2021-02-22,27110.988452945425,27110.988452945425,26499.625104982228,26635.48471069336,1542100
2021-02-23,26586.62350328107,26586.62350328107,25878.522958516704,26047.53680419922,2261600
2021-02-24,26113.220644963083,26608.24982388006,25822.450342977885,26577.011352539062,1663000
2021-02-25,26552.97734553396,26892.61105481008,26390.370590621027,26477.681365966797,2584200
2021-02-26,26597.038560472156,26695.562344094888,26144.46326332721,26382.363586425778,1691000
2021-03-01,26555.383356520706,27146.535821924524,26447.247737570025,27036.796600341797,1175100
2021-03-02,26931.059811678508,27027.18307197317,26652.306756952887,26669.127471923828,1748500
2021-03-03,26448.847143002506,26566.597036393974,26135.64841371614,26155.673889160156,1690300
2021-03-04,26131.64330732754,26798.08924704669,26073.168041218574,26236.576599121094,2134300
2021-03-05,26433.624560064538,26818.914467939372,26218.15027339245,26795.68423461914,2235600
2021-03-08,26754.836687568335,27768.12524450908,26711.58097664094,27452.523559570312,1854600
2021-03-09,27822.597806973557,28145.408414393205,27383.638449404832,27404.465728759766,2063300
