Date,Open,High,Low,Close,Volume
2020-08-24,10160.458480050664,10228.98328842043,10092.654591539587,10171.999801635742,2841300
2020-08-25,10212.39168602069,10258.55586430417,10169.112287349568,10218.16234588623,2840700
2020-08-26,10193.638363607604,10292.458304597829,10179.211162920401,10275.146324157715,2974100
2020-08-27,10319.146329014804,10331.408568711076,10135.93255268586,10205.90029144287,2801000
2020-08-28,10207.34171862846,10357.375569869424,10177.768600857169,10350.163070678713,2884700
2020-08-31,10289.573693679806,10334.296040174166,10229.705426133372,10253.507888793945,4344600
2020-09-01,10314.82187027735,10463.41283440393,10245.575029383572,10456.200332641603,3563400
2020-09-02,10563.6739056979,10702.16646274072,10494.428177496993,10649.510696411133,4579200
2020-09-03,10603.347793011675,10635.085880875653,10138.819999310486,10218.886138916016,5866400
2020-09-04,10159.738965417986,10280.198636940759,9933.2457260286,10132.328598022463,5251600
2020-09-08,9824.322576463457,10005.373576170485,9791.863580303308,9812.781257629395,5893700
2020-09-09,9969.309013154068,10159.736394902418,9895.734472289218,10075.341453552244,5418500
2020-09-10,10056.590775662493,10188.591778211132,9825.7698015233,9895.737564086912,3985800
2020-09-11,9970.029907321274,10026.29246764962,9755.79896582454,9836.58600616455,3524400
2020-09-14,9977.243193745902,10034.22667205572,9927.472214873324,9992.390213012695,3120400
2020-09-15,10083.277707853578,10229.70589499115,10052.261642537867,10144.590019226074,2718700
2020-09-16,10249.178875325491,10252.06475571126,10070.292813838467,10075.341453552244,3591700
2020-09-17,9840.194985707012,10136.655973392617,9804.129177475874,10127.278511047363,5646100
2020-09-18,10180.653274599135,10228.260391454443,9882.02851531524,10001.767227172853,7025900
2020-09-21,9800.519918464668,9890.684416428436,9688.71682150227,9880.58603668213,6036000
2020-09-22,9938.29245615079,10013.309941764841,9783.209945543224,10001.046600341797,3213200
2020-09-23,10032.785816506723,10032.785816506723,9717.571019006735,9749.309104919435,5766400
2020-09-24,9674.290115792872,9977.243724948534,9674.290115792872,9859.66886138916,2911000
2020-09-25,9806.29172814725,10033.506950040239,9719.734020081767,9977.244384765625,3036000
2020-09-28,10114.293712527475,10242.687881012838,10078.227910129543,10238.360160827637,3454100
2020-09-29,10263.609489503417,10318.430234535697,10184.986274344486,10206.625984191895,2722900
2020-09-30,10182.097928318335,10404.984330233274,10135.211723291446,10299.671699523926,5599600
2020-10-01,10490.820527668577,10619.21469309494,10386.22992333464,10452.590866088867,4431200
2020-10-02,10248.458037116168,10381.900839036834,10159.014455340342,10177.047355651855,3928600
2020-10-05,10263.606908137264,10403.542415895565,10211.673158463083,10392.723114013672,3052800
2020-10-06,10376.130966186522,10613.44344283823,10312.65480680162,10376.130966186522,3418700
2020-10-07,10483.608279815582,10624.264703837229,10445.378613303057,10585.31411743164,2845500
2020-10-08,10591.084578961785,10697.839055100143,10571.60873580539,10679.80615234375,2323700
2020-10-09,10825.514256508017,10929.38397111795,10736.79266721255,10885.38363647461,4209800
2020-10-12,11005.841270995348,11235.219264261652,10951.742563076952,11173.18603515625,5147800
2020-10-13,11188.332445551929,11243.874085361665,11085.183685905273,11143.611206054688,3524000
2020-10-14,11144.334257863242,11160.924220747225,10976.988386654279,11019.546875,3267400
2020-10-15,10951.019596318183,11039.741152541685,10881.77277884369,11003.675354003906,2936000
2020-10-16,11106.105192094472,11174.630008329439,11016.66159050539,11044.792877197266,4599700
2020-10-19,11056.330966680685,11174.626740307458,10838.493238190125,10874.559036254883,4225400
2020-10-20,10948.855478633772,10981.315580329134,10797.379773499357,10879.609756469727,3916100
2020-10-21,10754.82509502025,10780.792522518163,10434.560522759703,10540.594093322756,6700600
2020-10-22,10590.361254744113,10738.952163619515,10518.950579810446,10691.34504699707,3167200
2020-10-23,10705.772412370823,10819.74047747716,10698.559912437056,10816.855697631836,3509100
2020-10-26,10689.905011143068,10711.544715545117,10402.821494623116,10527.608879089355,4290700
2020-10-27,10648.790467113826,10699.282376501538,10570.888192355185,10612.002639770508,4102400
2020-10-28,10437.444216357237,10521.117151874763,10225.377097315708,10314.820693969728,7413600
2020-10-29,10293.75504143626,10702.046749203852,10267.6010571475,10620.679290771484,5600400
2020-10-30,10534.22088783592,10603.237975391461,10354.77579506274,10504.434204101562,5427000
2020-11-02,10640.292277203129,10672.257264275784,10477.556294291628,10577.81339263916,3756600
2020-11-03,10669.35373792909,10795.03762942786,10654.823994102086,10701.319839477539,3588600
2020-11-04,10955.589713409141,11151.743945463404,10784.136146518076,11044.948654174805,5015300
2020-11-05,11249.096466354638,11355.1656781491,11198.967919409564,11301.404418945312,4638100
2020-11-06,11337.001869163485,11493.925708162782,11256.360544278958,11459.780212402344,4217700
2020-11-09,11769.266516208092,11960.33582734852,11337.726566579471,11349.350799560547,5308600
2020-11-10,11288.328450410612,11358.798858651715,10971.57521713096,11005.720718383789,5697900
2020-11-11,11256.360797362579,11329.010601286647,11161.915830551685,11311.574249267578,3497200
2020-11-12,11334.822880882148,11400.933360902902,11163.369296825103,11224.39486694336,2607100
2020-11-13,11379.866216649714,11477.216696191426,11272.344808029733,11380.592315673828,2439800
2020-11-16,11425.637500288578,11579.65476393284,11378.414452165829,11501.192825317383,3456500
